 Index      X        Y     Cluster  
       0   -1.418   -4.069     0.000
       1   -1.343   -3.238     0.000
       2   -1.784   -4.117     0.000
       3   -0.877   -3.616     0.000
       4   -1.901   -3.729     0.000
       5   -1.898   -4.233     0.000
       6   -1.546   -4.957     0.000
       7   -2.529   -4.281     0.000
       8   -2.173   -3.843     0.000
       9   -2.121   -4.706     0.000
      10   -0.934   -4.113     0.000
      11   -1.633   -4.712     0.000
      12   -1.939   -3.945     0.000
      13   -2.242   -3.812     0.000
      14   -1.967   -4.146     0.000
      15   -1.968   -3.074     0.000
      16   -1.673   -4.529     0.000
      17   -1.255   -4.610     0.000
      18   -1.562   -4.980     0.000
      19   -2.331   -3.902     0.000
      20   -1.297   -3.914     0.000
      21   -1.724   -4.151     0.000
      22   -2.406   -4.360     0.000
      23   -1.897   -3.471     0.000
      24   -1.495   -4.882     0.000
      25   -1.505   -4.193     0.000
      26   -2.005   -3.694     0.000
      27   -1.151   -3.534     0.000
      28   -2.086   -4.155     0.000
      29   -1.501   -3.512     0.000
      30   -1.906   -4.093     0.000
      31   -2.220   -4.598     0.000
      32   -1.260   -3.322     0.000
      33   -1.703   -3.498     0.000
      34   -1.486   -4.323     0.000
      35   -1.486   -3.231     0.000
      36   -1.685   -3.218     0.000
      37   -2.977   -3.589     0.000
      38   -1.623   -4.150     0.000
      39   -1.621   -4.994     0.000
      40   -1.777   -3.821     0.000
      41   -0.928   -4.259     0.000
      42   -2.071   -4.251     0.000
      43   -1.209   -3.836     0.000
      44   -1.932   -3.743     0.000
      45   -1.618   -3.516     0.000
      46   -2.018   -4.164     0.000
      47   -1.863   -4.732     0.000
      48   -1.519   -3.869     0.000
      49   -1.664   -4.117     0.000
      50   -2.374   -4.210     0.000
      51   -1.838   -4.401     0.000
      52   -1.747   -3.798     0.000
      53   -0.724   -3.913     0.000
      54   -1.538   -4.037     0.000
      55   -2.626   -4.013     0.000
      56   -1.637   -2.768     0.000
      57   -1.763   -3.849     0.000
      58   -1.684   -4.584     0.000
      59   -1.095   -3.624     0.000
      60   -1.271   -4.455     0.000
      61   -0.965   -4.701     0.000
      62   -1.373   -2.905     0.000
      63   -2.162   -4.283     0.000
      64   -1.617   -4.252     0.000
      65   -2.442   -3.966     0.000
      66   -2.198   -3.763     0.000
      67   -2.126   -3.225     0.000
      68   -2.058   -4.161     0.000
      69   -1.260   -4.615     0.000
      70   -1.553   -3.346     0.000
      71   -2.470   -3.908     0.000
      72   -1.537   -3.609     0.000
      73   -2.285   -4.660     0.000
      74   -1.406   -3.852     0.000
      75   -1.541   -3.827     0.000
      76   -2.007   -3.884     0.000
      77   -1.520   -4.357     0.000
      78   -0.734   -3.763     0.000
      79   -2.262   -3.672     0.000
      80   -2.154   -3.606     0.000
      81   -1.087   -4.410     0.000
      82   -1.185   -3.794     0.000
      83   -1.256   -3.052     0.000
      84   -1.789   -4.377     0.000
      85   -2.111   -4.408     0.000
      86   -1.705   -3.829     0.000
