  height   weight     age   
   180.050   80.093   39.959
   179.889   79.862   40.096
   180.158   79.808   40.230
   179.942   79.873   39.842
   180.024   79.973   39.426
   180.082   79.856   39.543
   179.909   79.982   39.576
   179.937   80.006   40.179
   179.946   80.043   40.033
   179.940   79.839   40.284
   179.940   79.849   40.556
   179.947   80.164   39.998
   180.082   79.925   39.634
   180.278   79.874   40.358
   180.074   79.835   40.051
   179.899   79.909   39.525
   179.954   79.912   40.317
   179.887   80.121   40.040
   179.932   79.802   40.184
   180.058   80.092   40.266
   159.916   60.145   34.907
   159.849   59.825   35.330
   159.889   60.092   34.641
   160.083   59.989   35.089
   160.036   60.104   34.806
   160.150   59.998   35.101
   159.738   59.810   35.247
   159.858   60.003   35.313
   159.978   59.964   35.107
   159.921   59.831   35.223
   159.919   60.172   34.849
   160.050   60.149   35.347
   159.947   60.157   35.154
   160.137   60.158   35.053
   159.930   59.891   34.902
   160.127   60.144   34.912
   160.001   59.967   34.930
   159.960   59.935   34.913
   159.984   60.008   35.121
   159.906   60.189   35.421
   119.808   29.914    9.992
   120.010   30.001    9.870
   119.981   29.858   10.090
   120.034   29.897    9.998
   120.114   29.895   10.226
   119.920   30.053   10.415
   120.059   29.836   10.657
   119.951   29.875   10.277
   120.010   30.071    9.849
   120.001   29.891    9.890
   119.894   30.076   10.142
   120.062   29.855    9.952
   119.922   30.170    9.903
   119.964   30.064   10.167
   120.023   30.012   10.392
   119.968   30.159    9.938
   120.026   29.936   10.235
   120.130   30.159    9.740
   120.025   30.057   10.104
   120.023   29.804   10.254
