 Index      X       Y     Cluster  
       0    1.248   0.931     0.000
       1    1.324   1.762     0.000
       2    0.883   0.883     0.000
       3    1.790   1.384     0.000
       4    0.765   1.271     0.000
       5    0.768   0.767     0.000
       6    1.121   0.043     0.000
       7    0.138   0.719     0.000
       8    0.494   1.157     0.000
       9    0.546   0.294     0.000
      10    1.733   0.887     0.000
      11    1.034   0.288     0.000
      12    0.728   1.055     0.000
      13    0.425   1.188     0.000
      14    0.700   0.854     0.000
      15    0.699   1.926     0.000
      16    0.993   0.471     0.000
      17    1.411   0.390     0.000
      18    1.104   0.020     0.000
      19    0.336   1.098     0.000
      20    1.369   1.086     0.000
      21    0.942   0.849     0.000
      22    0.261   0.640     0.000
      23    0.770   1.529     0.000
      24    1.172   0.118     0.000
      25    1.162   0.807     0.000
      26    0.662   1.306     0.000
      27    1.515   1.466     0.000
      28    0.580   0.845     0.000
      29    1.166   1.488     0.000
      30    0.760   0.907     0.000
      31    0.447   0.402     0.000
      32    1.406   1.678     0.000
      33    0.964   1.502     0.000
      34    1.181   0.677     0.000
      35    1.181   1.769     0.000
      36    0.982   1.782     0.000
      37   -0.310   1.411     0.000
      38    1.044   0.850     0.000
      39    1.046   0.006     0.000
      40    0.890   1.179     0.000
      41    1.739   0.741     0.000
      42    0.596   0.749     0.000
      43    1.458   1.164     0.000
      44    0.735   1.257     0.000
      45    1.049   1.484     0.000
      46    0.649   0.836     0.000
      47    0.804   0.268     0.000
      48    1.148   1.131     0.000
      49    1.003   0.883     0.000
      50    0.292   0.790     0.000
      51    0.829   0.599     0.000
      52    0.919   1.202     0.000
      53    1.943   1.087     0.000
      54    1.129   0.963     0.000
      55    0.041   0.987     0.000
      56    1.030   2.232     0.000
      57    0.904   1.151     0.000
      58    0.983   0.416     0.000
      59    1.571   1.376     0.000
      60    1.396   0.545     0.000
      61    1.701   0.299     0.000
      62    1.293   2.095     0.000
      63    0.505   0.717     0.000
      64    1.050   0.748     0.000
      65    0.225   1.034     0.000
      66    0.469   1.237     0.000
      67    0.540   1.775     0.000
      68    0.608   0.839     0.000
      69    1.407   0.385     0.000
      70    1.114   1.654     0.000
      71    0.196   1.092     0.000
      72    1.130   1.391     0.000
      73    0.382   0.340     0.000
      74    1.261   1.148     0.000
      75    1.125   1.173     0.000
      76    0.660   1.116     0.000
      77    1.147   0.643     0.000
      78    1.933   1.237     0.000
      79    0.404   1.328     0.000
      80    0.513   1.394     0.000
      81    1.579   0.590     0.000
      82    1.482   1.206     0.000
      83    1.411   1.948     0.000
      84    0.877   0.623     0.000
      85    0.555   0.592     0.000
      86    0.961   1.171     0.000
      87    1.138   1.414     0.000
      88    1.007   1.727     0.000
      89    0.868   2.360     0.000
      90    1.313   0.571     0.000
      91    0.465   1.241     0.000
      92    0.888   1.357     0.000
      93    1.237   0.964     0.000
      94    0.577   0.243     0.000
      95    0.777   1.428     0.000
      96    1.107   0.377     0.000
      97    1.087   1.193     0.000
      98    0.558   1.077     0.000
      99    1.029   0.429     0.000
     100    6.179   2.280     1.000
     101    6.542   2.527     1.000
     102    5.311   1.531     1.000
     103    6.258   2.257     1.000
     104    6.258   3.926     1.000
     105    6.285   2.568     1.000
     106    6.477   2.326     1.000
     107    5.842   2.379     1.000
     108    5.614   1.882     1.000
     109    5.757   2.041     1.000
     110    7.157   1.066     1.000
     111    6.343   1.194     1.000
     112    5.764   2.544     1.000
     113    6.032   1.461     1.000
     114    5.642   2.340     1.000
     115    5.635   2.108     1.000
     116    6.023   1.674     1.000
     117    7.072   2.317     1.000
     118    4.987   2.093     1.000
     119    5.669   2.426     1.000
     120    5.604   1.943     1.000
     121    6.252   2.433     1.000
     122    5.400   1.833     1.000
     123    5.763   1.673     1.000
     124    6.883   2.202     1.000
     125    5.370   2.459     1.000
     126    7.061   2.516     1.000
     127    5.240   1.758     1.000
     128    6.633   1.646     1.000
     129    6.222   2.387     1.000
     130    5.537   1.970     1.000
     131    4.379   1.488     1.000
     132    5.874   1.376     1.000
     133    6.816   1.285     1.000
     134    5.780   2.065     1.000
     135    6.721   1.282     1.000
     136    6.582   2.005     1.000
     137    5.509   2.231     1.000
     138    6.100   1.700     1.000
     139    6.035   1.807     1.000
     140    6.057   2.331     1.000
     141    6.793   1.381     1.000
     142    7.067   1.024     1.000
     143    5.924   2.294     1.000
     144    6.140   1.689     1.000
     145    5.896   1.753     1.000
     146    5.705   2.425     1.000
     147    6.179   1.654     1.000
